Longueur; L=1; L=2; L=3; L=4; L=5; L=6; L=7; L=8; L=9; L=10; L=11
;['Hervey']/62;['St.', 'Clarence Hervey', 'I could', 'Delacour,', 'I must', 'ha!']/5;[];[];[];[];[];[];[];[]; []
;['She']/60;['I did', 'wish to', 'madame de', 'Belinda,', 'I knew', 'courage to', 'I can', 'out of']/4;[];[];[];[];[];[];[];[]; []
;['love']/58;['I beg', 'lady,', 'tell you', 'Oakly-', "Luttridge'", 'I had', 'Belinda Portman', 'love you', 'Juba,', 'upon the', '\x99\xe2\x80\x94\xe2\x80\x98', 'sort of', "duck'", 'see her', 'think of', 'I would', 'guess,', '\x99\xe2\x80\x94', 'I hope', 'love with']/3;[];[];[];[];[];[];[];[]; []
;['\x99']/56;['old gardener', 'much the', 'It is', 'soon as', 'much for', "Where'", 'hate her', "ma'", 'courage,', 'give up', 'lord,', 'tragic muse', 'refuse him', 'good to', 'X---', 'How so', 'world,', 'whether he', 'forgive me', 'black and', 'I don', 'we had', 'upon my', 'shall not', 'speak to', 'girl,', 's dead', 'God forbid', 'd,', 'never more', 'under the', 'miss Delacour', 'those who', 'give her', "Delacour'", 'tell him', 'You are', 'moon,', 'money,', 'Anne Percival', 'knowledge of', 'I wish', 'going to', 'between two', 'hundred pounds', 'It was', 'I ask', 'man of', 'Harriet Freke', 'shame!', 'laws of', 'I said', 'Tis good', 'history piece', 'thing,', 'gold fishes', 'O,', 'think I', 'I cannot', 'knew you', 'loves you', 'object of', 'I thought', 'very ill', 'one of', 'shake,', 'like a', 'put it', 'afraid of', 'tell her', 'lost!', 'She was', 'accustomed to', 'Good night', 'much as']/2;[];[];[];[];[];[];[];[]; []
;['never', 'one']/54;['determined upon', 'perceive that', 'I ought', 'love me', 'thank ye', 'amazingly good', 's head', 'upon a', 'From Oakly', 'one thing', 'signed,', 'em\xe2\x80\x94', 'make a', "Stanhope'", 'half by', 'Marriott thinks', 'none of', 's death', 'tant pis', 'good young', 'military courage', 'park,\xe2\x80\x9d', 'excepted,', 'letter\xe2\x80\x94', 's taste', 'perfectly well', 'Philip Baddely', 'influence to', 'one,', 'tears,', 'I love', 'married,', 'I wished', 'upon having', 'good\xe2\x80\x94', 'beg your', 'unless she', 'How did', 'll ask', 'No:', 'tired of', 'I mean', 'bless you', 'another\xe2\x80\x94', 'sure I', 'love my', 'others,', 'indifferent spectator', 'Virginia St', "Can'", 'hundred guineas', 'yourself,', 'partner of', 'free from', 'battle between', 'Damn it', 'cunning!\xe2\x80\x94', 'cease to', 'maker,', 'fear of', 'things at', 'Percival,', 'wedding,', 'Why was', 'once again', 'nobody would', 'deserves it', 'become quite', 'lord and', 'whole business', 'light,', 'before?\xe2\x80\x94', 'beg that', 'God will', 'action than', 'spurn him', 'very good', 'manner of', 'I give', 'gentleman,', 'never shall', 'long have', 'heavenly sort', 'obligations\xe2\x80\x94', 'speeches,', 'Say you', 'dash into', 'ask for', 'whether any', 'low voice', 'lady\xe2\x80\x94', 'times more', 'admirers,', 'secret in', 'myrtle,', 'convinced in', 'statutes of', 'up,', 'Portman,', 'go,', 'name,', 'sir.', 'forget,', 'one he', 'poetic justice', 'see him', 'till he', 'Do go', 'having judged', 'please\xe2\x80\x94', 't you', 'look back', 'devoid of', "massa'", 'company\xe2\x80\x94', 'care not', 'Little did', 'confession of', 'angry with', 'E O', 'Portman is', 've been', "Lawless'", 'speech and', 'man?\xe2\x80\x9d', 'ought.\xe2\x80\x9d', 'Delacour shall', 'lady Ann', 'lord Studley', 'I only', 'The widow', 'Ha!', 'lord to', 'we grow', 'never,', 'right to', 'Give ye', 'love him', 'love for', 'end of', 'pet quiz', 'dominion of', "lord'", 'key\xe2\x80\x94', 'hear,', 'creaking shoes', 'finest woman', 'back to', 'old woman', 'explain!', 'though he', 'news!\xe2\x80\x94', 'exist without', 'man in', 'noise,', 'petit nez', 'sight of', 'affection,', 'Harriot!', 'similarity of', 'knew what', 'fondly loves', 'Helena,', 'orange,', 'My father', 'better satisfied', 'satisfaction to', 'speak the', 'I liked', 'enough to', 'You perceive', 'dinner time', 'told you', 'judge of', 'I never', 'pleasant young', 'ready for', 'difficult to', 'Where is', 'think for', 'Great news', 'generous action', 's,', 'general character', 'half the', 'never be', 'Delacour.', 'believe it', 'Delacour was', 'And you', 'Smith,', 'men.\xe2\x80\x94', 'betray me', 'more likely', 'things have', 'like him', 'well received', 'looks\xe2\x80\x94', 'thousand faults', 'In love', 'I care', "L'", 'West-', 'displeased,', 'made me', 'more she', 'consent\xe2\x80\x94', "Pierre'", 'd not', 'I meant', 'we do', 'sees,', 'know how', 'more you', 'determined to', 'physician\xe2\x80\x94', 'people\xe2\x80\x94', 'Indian ladies', 'Philip was', 'interest,', 'slave of', 't\xe2\x80\x94', 'write,', 'bullfinch,', 'I told', 'make inquiries', 'two dogs', 'melancholy nonsense', 'grow tired', 'victorious.', 'without the', 'assure you', 'thousand a', 'leave me', 'fonder of', 'we have', "lover'", 'young lady', 'Ah pardi', 'surgeon in', 'silver chess', 'woman of', 'full and', 'gone so', 'family history', 'I be', 'charming spirits', 'temper,', 'dark\xe2\x80\x94', 'very glad', 've found', 'love-', 'love,', 'without her', 'upon me', 'fishes,', 'piece,', 'artifice!', 'such as', 'well\xe2\x80\x94', 'aunt Stanhope', 'sure,', 'dupe,', 'reasonable creature', 'mother of', 'here is', 't look', 'un petit', 'need not', 'll lay', 'against him', 'shall we', 'hope,\xe2\x80\x9d', 'happiest of', "ladyship'", 'capacity,', 'without my', 'head,', 'singing bird', 'gratify my', 'give to', 'fide,', 'during the', 'opinion of', 'Hervey,\xe2\x80\x9d', 'worse!\xe2\x80\x94', 'tolerate lady', 'something to', 'shall be', 'bet,', 'I to', 'person who', 'six and', 'possibility now', 'point,', 'wish,', 'now that', 'I hear', 'window,', 'Consult no', 'coquet I', 'Belinda!\xe2\x80\x9d', 't deserve', 'go on', 'lord Delacour', 'devil are', 'want to', 'attachment to', 'vile wretch', 'first glance', 'age,', 'we placed', 'earnest,', 'knows.', 'money quarrels', 'Delacour should', 'vain imagination', 'thousands,', 'contrary to', 'thought something', 'partly by', 's Virginia', 'look so', "d'", 'en a', 'times handsomer', 't the', 'delicacy,', 'upon her', 'great delight', 'obliged to', 'sake of', 'First loves', 'brass\xe2\x80\x94', 'I shall', 'keep it', 'common sense', 'put me', 'kill me', 'waited in', 'description of', 'What do', 'wear it', 'regard to', 'go about', 'secret,', 'dog,', 'go to', 'approve of', 'damned blue', 'guilt\xe2\x80\x94', 'matter\xe2\x80\x94', 'I remember', 'tremble for', 't some', 'friend the', 'body.\xe2\x80\x9d', 'Done!', 'friends,', 'I despise', 'away posted', 'And young', 'cause of', 'hurt,', 'air,', "That'", 'suits your', 'Undesignedly,', 'Champfort,', 'Upon condition', 'Hervey,', 'know it', 'attached to', 'intent upon', "Hervey'", 'come in', "Champfort'", 'Hervey!', 's fortune', 'hastened to', 'entirely to', 'first object', 'acknowledged taste', 'heroes,', 'heart\xe2\x80\x94', 'duel\xe2\x80\x94', 'thought that', 'young man', 'we can', 'liberal in', 'whenever he', 'half in', 'woman!\xe2\x80\x9d', 'judgment and', 'y en', 'more will', 'alteration,', 'ought to', 'Am I', 'old age', 'I go', 'last night', 'O table', 'young girl', 'promised\xe2\x80\x94', 's a', 'quarrelled with', 'I might', 'thing which', 'consult a', 'dress,', 'hey,', 'affectionate disposition', 'eclipse,', 'once in', 'much hurt', 'woman\xe2\x80\x94', 'thousand times', 'course of', 'hopes of', 'now?', "Don'", 'widow Brady', 'we cannot', 'always be', 'la femme', 'read of', 'more like', 'dance,', 'Juba the', 'They are', 'hate a', 'such things', 'Lord Delacour', 'fine lady', 'send for', 'Reputation,', 'first man', 'found it', 'now the', 'The truth', 'seems to', 'character,', 'rubbish.\xe2\x80\x9d', 'belief in', 'damme!', 'rejoiced I', 'learn from', 'damme,', 'whose life', 'give the', 'nez retrouss\xc3\xa9', 'bona fide', 'heart!', 'eating it', 'coach-', 'manners,', 'know my', 'Portman has', 'write?\xe2\x80\x9d', 'read them', 'harm to', 'damned sorry', 'letters.\xe2\x80\x9d', 'world to', 'done with', 'fine woman', 'ye joy', 'people,', 'It would', 'Marriott,', 'mean\xe2\x80\x94', 'And he', 'time or', 'old man', 'good heart', 'repugnance for', 'excusable,', 'dressing-', 'blush before', 'I regret', 'variety of', 'happiness,', 'jealous\xe2\x80\x94', 's\xc3\xa7', 'Lord!', 'Too late', 'fond of', 'like to', 'liberty to', 'wife,', 'judge for', 'myself a', 'voice of', 'name of', 'dreaded the', 'Joy!', 'ask no', 'prepare lady', "we'", 'colour of', 'spared on', 'justice,', 'rob my', 'He is', 'bets were', 'comme il', 'Percival is', 'thought she', 'taste and', '200 guineas', 't wish', 'done!\xe2\x80\x9d', 'pon honour', 'muse on', 'Dr.', 'Strange,', 'left-', 'morrow\xe2\x80\x94', 'eight and', 'genius\xe2\x80\x94', 'caught in', 'tell it', 'shall make', 'femme comme', "wouldn'", 'hates\xe2\x80\x94', 'common friend', 'Doctor X', 'trust you', 'waited,', 's hopes', 'May Belinda', 'friend of', 'told by', 'instead of', 'fancy piece', 'No!\xe2\x80\x94', "wou'", 'blame myself', 'Delacour\xe2\x80\x94', 'G---', 'himself,', 'discovered,', 'change of', 'night!\xe2\x80\x9d', 'mine,', 'conceal from', 'free-', 'father!\xe2\x80\x94', 'very amiable', 'down to', 'delight,', 'glad to', 'times,', 'arms of', 'through her', 'entertaining man', 'O no', 'want of', 'satisfied.', 'sense of', 'This way', 'laughed,', 'seemed to', 'chess-', "couldn'", 'house,', 'hate me', 'more than', 'relations hate', 're no', 'captain Sunderland', 'pretty thing', 'wonder you', 'lady Boucher', 'Freke!\xe2\x80\x94', 'true description', 'more agreeable', 'Belinda loves', 'consequence to', 'good qualities', 'tell me', 'worth while', 'die,', 'de Sevign\xc3\xa9', 'listened to', 'spectator,', 'morning visit', 'smile,', 'heard of', 'I believe', 'upon this', 'told her', 'ward,', 'agreeable,', 'Juba is', 'indeed,', 'Juba die', 'Did he', 'overheard it', 'shall they', 'yours:', 'body knows', 'dine with', 'necessary to', 're eating', 'passionate lover', 'rose-', 'woman blush', 's fault', 'ill humour', 's the']/1;[];[];[];[];[];[];[];[]; []
;['Marriott']/52;[];[];[];[];[];[];[];[];[]; []
;['lord', 'good']/50;[];[];[];[];[];[];[];[];[]; []
;['man']/48;[];[];[];[];[];[];[];[];[]; []
;['t']/44;[];[];[];[];[];[];[];[];[]; []
;['much']/42;[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
;[];[];[];[];[];[];[];[];[];[]; []
